JK,Usia_Tahun,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPK_Lulus,Status_Kelulusan
L,>25,A,A,A,A,A,A,A,Tepat
P,<=25,B,B,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,B,B,A,A,A,A,A,Telat
P,<=25,B,B,B,B,B,B,A,Telat
L,>25,B,B,B,B,B,B,B,Telat
P,>25,A,A,A,A,A,A,A,Tepat
P,>25,A,A,A,A,A,A,A,Tepat
L,<=25,B,A,A,A,A,A,A,Tepat
L,>25,B,B,A,A,A,A,A,Tepat
P,>25,B,B,B,B,B,B,A,Telat
P,>25,A,A,A,A,A,A,A,Tepat
P,>25,B,B,A,A,A,A,A,Telat
P,>25,B,B,A,A,A,A,A,Tepat
P,<=25,B,B,A,B,B,B,B,Tepat
P,>25,B,B,A,A,B,B,B,Telat
P,>25,B,A,A,A,A,A,A,Telat
P,<=25,B,A,A,A,A,A,A,Tepat
P,>25,B,A,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
P,>25,A,A,A,A,A,A,A,Tepat
P,>25,B,A,A,A,A,A,A,Tepat
P,>25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Telat
P,>25,B,B,A,A,A,A,A,Tepat
P,>25,B,A,A,A,A,A,A,Telat
P,<=25,B,A,A,A,A,A,A,Tepat
L,<=25,B,B,B,B,A,A,A,Tepat
L,<=25,B,B,B,B,B,B,B,Telat
L,>25,A,A,A,A,A,A,A,Tepat
P,>25,A,A,A,A,A,A,A,Tepat
P,>25,A,A,A,A,A,A,A,Tepat
P,>25,A,A,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Telat
L,>25,A,A,A,A,A,A,A,Telat
P,<=25,B,A,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Telat
L,<=25,A,B,B,B,B,B,B,Telat
L,<=25,B,B,B,B,B,B,B,Telat
L,>25,B,B,B,B,B,B,B,Telat
P,>25,B,B,B,B,B,B,B,Telat
L,>25,B,B,B,B,B,B,B,Telat
L,>25,B,B,B,B,B,B,B,Telat
P,<=25,B,B,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Tepat
L,<=25,A,A,A,B,B,B,B,Telat
P,<=25,B,B,B,B,A,A,A,Telat
P,<=25,B,B,B,B,A,A,A,Telat
P,<=25,B,B,B,B,B,B,B,Telat
P,<=25,B,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
L,<=25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Tepat
L,<=25,B,B,B,B,B,B,B,Telat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,B,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,B,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
L,<=25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Tepat
L,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Telat
L,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Telat
L,<=25,A,A,A,A,A,A,A,Tepat
P,>25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Tepat
P,<=25,A,A,A,A,A,A,A,Telat
P,>25,A,A,A,A,A,A,A,Telat
L,<=25,B,B,B,B,B,B,B,Telat
P,<=25,A,A,A,A,A,A,A,Telat
P,<=25,B,B,A,A,B,B,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
L,<=25,B,A,A,A,A,A,A,Telat
L,>25,A,B,B,B,B,B,A,Telat
L,<=25,A,A,A,A,A,A,A,Telat
P,<=25,B,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
L,<=25,A,A,A,A,A,A,A,Telat
P,<=25,A,A,A,A,A,A,A,Telat
L,>25,A,B,B,B,B,B,B,Telat
L,<=25,A,A,A,A,A,A,A,Telat
L,<=25,A,A,A,A,A,A,A,Telat
L,<=25,B,B,B,B,B,B,A,Telat
